sector1,sector2,sector3,sector4,sector5,sector6,sector7,sector8,sector9,sector10,sector11
0.0,1.64,1.55,56.67,0.4297590361445784,61.67,20.17,10.33,55.33,62.83,50.0
0.92,1.71,0.93,55.0,0.38746987951807227,60.0,20.0,9.5,57.33,55.17,58.33
1.15,1.66,0.46,55.0,0.38361445783132536,56.66,18.5,6.5,56.67,60.0,56.67
1.32,1.6,0.97,51.66,0.4316867469879518,50.0,16.33,3.0,59.0,56.83,50.0
0.77,1.53,1.2,43.34,0.28915662650602414,46.66,15.5,2.33,50.17,52.0,48.33
1.42,1.6,1.1,41.67,0.2851807228915663,38.33,20.17,3.17,54.5,48.0,50.0
0.67,1.66,0.53,43.34,0.3774698795180723,38.33,19.33,2.67,47.67,54.83,48.33
0.95,1.75,1.2,51.66,0.39759036144578314,46.66,15.0,2.5,44.83,56.5,45.0
0.0,1.8,1.52,51.66,0.3413253012048193,46.66,19.5,3.5,61.5,59.67,50.0
0.0,1.7,1.13,58.34,0.3795180722891566,55.0,18.0,2.83,52.33,64.0,56.67
0.0,1.31,0.89,41.67,0.3172289156626506,41.67,13.83,2.33,55.66,46.67,43.33
0.55,1.33,1.05,36.67,0.26698795180722895,36.66,17.0,2.0,47.5,33.5,33.33
0.37,1.1,1.05,21.66,0.1566265060240964,30.0,14.17,2.0,33.84,27.0,30.0
0.28,0.96,1.08,13.33,0.11843373493975902,26.67,11.67,1.17,33.66,20.83,21.67
0.15,0.89,1.77,16.67,0.08626506024096385,26.67,12.83,2.0,45.33,24.33,23.33
0.23,0.85,1.89,11.66,0.08240963855421686,30.0,10.5,3.5,43.5,15.83,18.33
0.1,0.91,2.06,18.34,0.08433734939759037,31.66,10.33,5.0,50.0,24.0,26.67
0.33,1.0,2.4,23.34,0.14457831325301207,36.67,12.0,1.67,67.17,25.17,20.0
0.43,1.34,1.95,58.34,0.3774698795180723,56.67,20.33,8.17,76.5,50.33,43.33
0.92,1.56,1.85,71.66,0.6867469879518072,88.33,30.5,6.17,95.83,74.67,66.67
1.33,1.68,1.15,71.66,0.7209638554216867,83.34,31.33,5.17,74.34,70.17,66.67
0.14,1.77,1.33,65.0,0.6927710843373494,78.33,28.33,6.17,67.16,66.17,61.67
0.0,1.86,1.73,60.0,0.7409638554216867,81.67,20.33,5.67,57.67,66.83,70.0
0.0,1.92,0.88,55.0,0.5581927710843373,73.33,20.33,4.83,69.66,66.17,56.67
0.33,1.95,0.65,55.0,0.45180722891566266,58.33,20.17,3.33,53.17,59.33,53.33
0.38,2.03,1.21,60.0,0.41759036144578315,56.66,20.0,5.67,55.16,56.5,55.0
1.07,1.98,0.81,53.33,0.3875903614457832,51.67,21.83,3.67,59.67,56.83,61.67
0.82,1.9,1.0,51.66,0.4116867469879519,56.67,17.83,3.83,55.0,55.33,51.67
1.17,1.83,0.34,48.34,0.3734939759036145,51.67,17.33,3.17,46.67,51.17,53.33
1.32,1.91,0.96,46.67,0.3795180722891566,46.66,19.67,3.83,48.5,55.83,45.0
